date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:10	139652/139652	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Oct%202023%2022:21:13%20GMT	https://thuocnam.autowebsite.vn/	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/index.html	(from )
23:59:11	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2017%20Oct%202023%2022:21:13%20GMT	https://thuocnam.autowebsite.vn/xmlrpc.php	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/xmlrpc.php	(from https://thuocnam.autowebsite.vn/)
23:59:11	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-64319c2c-2d28a6;gz%22	https://thuocnam.autowebsite.vn/wp-includes/css/dashicons.min.css?ver=6.0	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/wp-includes/css/dashicons.minf049.css	(from https://thuocnam.autowebsite.vn/)
23:59:11	815/815	---M-Z	200	added ('OK')	text/css	etag:%2232f-64319c29-2c9d90;gz%22	https://thuocnam.autowebsite.vn/wp-content/plugins/menu-icons/css/extra.min.css?ver=0.12.12	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/wp-content/plugins/menu-icons/css/extra.minc147.css	(from https://thuocnam.autowebsite.vn/)
23:59:11	88870/88870	---M-Z	200	added ('OK')	text/css	etag:%2215b26-64319c2c-2d2888;gz%22	https://thuocnam.autowebsite.vn/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/wp-includes/css/dist/block-library/style.minf049.css	(from https://thuocnam.autowebsite.vn/)
23:59:11	2967/2967	---M-Z	200	added ('OK')	text/css	etag:%22b97-64319c2a-2d1671;gz%22	https://thuocnam.autowebsite.vn/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=3.8.1	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style7e2e.css	(from https://thuocnam.autowebsite.vn/)
23:59:12	168313/168313	---M-Z	200	added ('OK')	text/css	etag:%2229179-64319c2a-2d16dc;gz%22	https://thuocnam.autowebsite.vn/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=3.8.1	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style7e2e.css	(from https://thuocnam.autowebsite.vn/)
23:59:12	30503/30503	---MCZ	200	added ('OK')	application/rss+xml	etag:%2261eb9cb5a00ea49221bacbdcd0c35e8c%22	https://thuocnam.autowebsite.vn/feed/	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/feed/index.html	(from https://thuocnam.autowebsite.vn/)
23:59:12	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-64319c28-2c97c1;gz%22	https://thuocnam.autowebsite.vn/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6.1	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/wp-content/plugins/contact-form-7/includes/css/styles04dd.css	(from https://thuocnam.autowebsite.vn/)
23:59:12	17634/17634	---M-Z	200	added ('OK')	text/css	etag:%2244e2-64319c28-2c9810;gz%22	https://thuocnam.autowebsite.vn/wp-content/plugins/devvn-quick-buy/css/devvn-quick-buy.css?ver=2.1.3	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/wp-content/plugins/devvn-quick-buy/css/devvn-quick-buy4c71.css	(from https://thuocnam.autowebsite.vn/)
23:59:12	732/732	---M-Z	200	added ('OK')	application/rss+xml	etag:%2261eb9cb5a00ea49221bacbdcd0c35e8c%22	https://thuocnam.autowebsite.vn/comments/feed/	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/comments/feed/index.html	(from https://thuocnam.autowebsite.vn/)
23:59:12	747/747	---M-Z	200	added ('OK')	application/rss+xml	etag:%2261eb9cb5a00ea49221bacbdcd0c35e8c%22	https://thuocnam.autowebsite.vn/trang-chu/feed/	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/trang-chu/feed/index.html	(from https://thuocnam.autowebsite.vn/)
23:59:13	3343/3343	---M-Z	200	added ('OK')	text/css	etag:%22d0f-64319c29-2ca256;gz%22	https://thuocnam.autowebsite.vn/wp-content/plugins/menu-image/includes/css/menu-image.css?ver=3.0.8	C:/My%20Web%20Sites/thuocnam/thuocnam.autowebsite.vn/wp-content/plugins/menu-image/includes/css/menu-image6173.css	(from https://thuocnam.autowebsite.vn/)
